"school_name";"koreaS_code";"school_code"
"금릉초등학교";"J10";7681022
"금모래초등학교";"J10";7781039
"금빛초등학교";"J10";7551051
"금상초등학교";"J10";7551052
"금성초등학교";"J10";7771020
"금신초등학교";"J10";7681028
"금암초등학교";"J10";7679099
"금오중학교";"J10";7561075
"금오초등학교";"J10";7561021
"금정중학교";"J10";7642040
"금정초등학교";"J10";7642013
"금주초등학교";"J10";7711020
"금촌고등학교";"J10";7530656
"금촌중학교";"J10";7681109
"금촌초등학교";"J10";7681029
"금파중학교";"J10";7771021
"금파초등학교";"J10";7771038
"금향초등학교";"J10";7681023
"금화초등학교";"J10";7681021
"기산중학교";"J10";7679100
"기산초등학교";"J10";7679014
"기안중학교";"J10";7679101
"기안초등학교";"J10";7679015
"기흥고등학교";"J10";7530522
"기흥초등학교";"J10";7751068
"김포고등학교";"J10";7530058
"김포구래초등학교";"J10";7771185
"김포금빛초등학교";"J10";7771172
"김포나진초등학교";"J10";7771187
"김포대명초등학교";"J10";7771023
"김포서초등학교";"J10";7771024
"김포신곡중학교";"J10";7771166
"김포신풍초등학교";"J10";7771015
"김포여자중학교";"J10";7771005
"김포외국어고등학교";"J10";7530745
"김포제일고등학교";"J10";7531149
"김포제일공업고등학교";"J10";7531145
"김포중학교";"J10";7771006
"김포초등학교";"J10";7771022
"김포한가람중학교";"J10";7771134
"김포한가람초등학교";"J10";7771118
"김포호수초등학교";"J10";7771136
"까치울중학교";"J10";7581149
"까치울초등학교";"J10";7581043
"나곡중학교";"J10";7751021
"나곡초등학교";"J10";7751070
"나눔초등학교";"J10";7569014
"나래중학교";"J10";7771202
"나래초등학교";"J10";7741016
"나루고등학교";"J10";7530880
"나룰초등학교";"J10";7692113
"나비초등학교";"J10";7771153
"나산초등학교";"J10";7751190
"낙민초등학교";"J10";7621052
"낙생고등학교";"J10";7530149
"낙생초등학교";"J10";7551164
"낙원중학교";"J10";7551236
"남곡초등학교";"J10";7751071
"남면초등학교";"J10";7602010
"남문중학교";"J10";7602013
"남사중학교";"J10";7751022
"남사초등학교";"J10";7751072
"남수원중학교";"J10";7541017
"남수원초등학교";"J10";7541072
"남양고등학교";"J10";7530783
"남양주공업고등학교";"J10";7530543
"남양주금곡초등학교";"J10";7652030
"남양주다산고등학교";"J10";7531376
"남양주다산중학교";"J10";7652298
"남양주다산초등학교";"J10";7652294
"남양주덕송초등학교";"J10";7652249
"남양주도곡초등학교";"J10";7652031
"남양주동곡초등학교";"J10";7652033
"남양주미금초등학교";"J10";7652035
"남양주백봉초등학교";"J10";7652037
"남양주샛별초등학교";"J10";7652262
"남양주송라초등학교";"J10";7652038
"남양주송촌초등학교";"J10";7652040
"남양주신촌초등학교";"J10";7652041
"남양주양정초등학교";"J10";7652043
"남양주양지초등학교";"J10";7652045
"남양주월문초등학교";"J10";7652047
"남양주월산초등학교";"J10";7652274
"남양중학교";"J10";7679102
"남양초등학교";"J10";7679016
"남창초등학교";"J10";7541073
"남촌초등학교";"J10";7751073
"남한고등학교";"J10";7530059
"남한산초등학교";"J10";7692012
"남한중학교";"J10";7692043
"내기초등학교";"J10";7631029
"내동중학교";"J10";7581011
"내동초등학교";"J10";7642076
"내손초등학교";"J10";7642014
"내양초등학교";"J10";7652049
